iter	Logloss
0	0.676259972
1	0.6654250897
2	0.6532146881
3	0.639451595
4	0.6271132882
5	0.6153144584
6	0.6036616323
7	0.5938620616
8	0.5852938567
9	0.5756313062
10	0.5657310054
11	0.558708914
12	0.5513718967
13	0.5447909565
14	0.5368814331
15	0.5296290545
16	0.5222073669
17	0.5162479626
18	0.5103981524
19	0.5044773049
20	0.4999419572
21	0.4950738896
22	0.4886636941
23	0.4832462762
24	0.4781404302
25	0.4741341959
26	0.4690062784
27	0.463874824
28	0.4596766052
29	0.4548478945
30	0.4505519661
31	0.4459899256
32	0.4424503793
33	0.4396020216
34	0.4374407034
35	0.4347556065
36	0.4314500993
37	0.4295450129
38	0.426367009
39	0.4237406601
40	0.4206531729
41	0.4174034745
42	0.4149238481
43	0.4117513057
44	0.4085410574
45	0.4058251186
46	0.404319073
47	0.4017221803
48	0.3994877547
49	0.396736111
50	0.3946635038
51	0.3921487351
52	0.3894690432
53	0.387969837
54	0.3857782924
55	0.3833919028
56	0.3805837672
57	0.379370355
58	0.3772463294
59	0.3754860011
60	0.3742299792
61	0.3732243512
62	0.3721841355
63	0.3706672411
64	0.3687132064
65	0.3664382308
66	0.3650991199
67	0.3637179739
68	0.3632167964
69	0.3619251461
70	0.3605747155
71	0.3592027848
72	0.3579110764
73	0.3562404735
74	0.3550378728
75	0.3536394169
76	0.3521570804
77	0.350450413
78	0.3487765782
79	0.3477040407
80	0.3465883198
81	0.3450644108
82	0.3437975464
83	0.3426238428
84	0.3413449158
85	0.3406256231
86	0.3387589125
87	0.337658354
88	0.3358921509
89	0.3345371667
90	0.3332086528
91	0.3317409812
92	0.3300320187
93	0.3284271524
94	0.3273624206
95	0.3263679477
96	0.3252326927
97	0.3241464747
98	0.3230095549
99	0.3207534069
100	0.3195434957
101	0.3186303323
102	0.3174007543
103	0.3160536691
104	0.3145504504
105	0.3133171635
106	0.3120489955
107	0.3109817518
108	0.3100248842
109	0.3093072688
110	0.3084954683
111	0.307544508
112	0.3061908843
113	0.3043857994
114	0.3032375399
115	0.3023314342
116	0.3012052986
117	0.3003693118
118	0.2994855287
119	0.2989813725
120	0.2982247214
121	0.2973625498
122	0.2966602272
123	0.2954670975
124	0.2945697451
125	0.2936035156
126	0.293037872
127	0.2922849502
128	0.2909087395
129	0.290359934
130	0.2896337222
131	0.2887772052
132	0.2880868517
133	0.2870641541
134	0.2858786694
135	0.2853274591
136	0.2842012724
137	0.283164909
138	0.281998037
139	0.2809125807
140	0.2800802136
141	0.2789813014
142	0.2784531732
143	0.2777033117
144	0.2763210589
145	0.2750273599
146	0.2747072833
147	0.27446528
148	0.2742115437
149	0.2733733659
150	0.272195141
151	0.271713231
152	0.2706711945
153	0.2698938804
154	0.268998926
155	0.2685630142
156	0.2681583952
157	0.267588009
158	0.2668191229
159	0.2656498683
160	0.2650015451
161	0.2645490428
162	0.263994315
163	0.2634602376
164	0.2626576647
165	0.2621800256
166	0.2619345853
167	0.261424679
168	0.2604589013
169	0.2597443172
170	0.259271888
171	0.2582814212
172	0.2572200141
173	0.2566538189
174	0.2562135277
175	0.2552177
176	0.2542975041
177	0.253530628
178	0.2531737901
179	0.2527756654
180	0.252330001
181	0.2518530036
182	0.2507908432
183	0.2499211086
184	0.2493085917
185	0.2484719866
186	0.2472231301
187	0.2468188759
188	0.2458099444
189	0.2452722192
190	0.2442424202
191	0.2433015136
192	0.2424695242
193	0.2419519583
194	0.2413707014
195	0.2402609094
196	0.2393890135
197	0.2388758188
198	0.2384025862
199	0.2376987939
