iter	Passed	Remaining
0	137	27381
1	141	13985
2	146	9604
3	152	7461
4	158	6199
5	164	5326
6	171	4716
7	177	4267
8	184	3907
9	190	3619
10	195	3356
11	200	3137
12	205	2961
13	211	2810
14	216	2669
15	222	2553
16	226	2442
17	231	2344
18	236	2249
19	240	2160
20	244	2085
21	248	2013
22	252	1945
23	256	1879
24	260	1820
25	264	1771
26	268	1718
27	271	1666
28	274	1615
29	277	1569
30	279	1525
31	283	1486
32	285	1445
33	289	1412
34	292	1377
35	294	1342
36	298	1312
37	300	1281
38	304	1255
39	307	1231
40	311	1206
41	314	1184
42	318	1162
43	321	1139
44	324	1118
45	328	1098
46	331	1078
47	334	1058
48	337	1039
49	340	1022
50	343	1003
51	346	986
52	349	968
53	353	954
54	357	941
55	360	925
56	362	910
57	366	897
58	369	884
59	373	871
60	376	858
61	379	844
62	382	832
63	385	818
64	389	808
65	392	797
66	397	788
67	400	776
68	401	762
69	405	752
70	408	741
71	412	733
72	415	722
73	418	712
74	421	702
75	424	691
76	426	681
77	429	671
78	432	662
79	435	653
80	438	644
81	441	635
82	444	627
83	448	619
84	451	610
85	454	601
86	457	593
87	460	586
88	463	578
89	466	569
90	469	562
91	472	554
92	475	547
93	478	540
94	481	532
95	485	525
96	487	518
97	490	510
98	492	502
99	495	495
100	498	488
101	500	481
102	503	474
103	506	467
104	509	460
105	511	453
106	514	447
107	516	439
108	519	433
109	522	427
110	524	420
111	527	414
112	531	409
113	535	403
114	538	397
115	541	391
116	543	385
117	547	380
118	550	374
119	553	369
120	556	363
121	559	357
122	562	352
123	565	346
124	567	340
125	570	335
126	573	329
127	576	324
128	580	319
129	584	314
130	588	309
131	591	304
132	594	299
133	597	294
134	600	288
135	602	283
136	606	278
137	609	273
138	611	268
139	615	263
140	617	258
141	621	253
142	624	248
143	627	244
144	631	239
145	633	234
146	637	229
147	639	224
148	642	220
149	645	215
150	648	210
151	651	205
152	654	200
153	657	196
154	660	191
155	662	186
156	665	182
157	668	177
158	672	173
159	675	168
160	679	164
161	682	160
162	686	155
163	689	151
164	692	146
165	696	142
166	698	138
167	702	133
168	705	129
169	707	124
170	710	120
171	713	116
172	716	111
173	720	107
174	722	103
175	725	98
176	728	94
177	731	90
178	733	86
179	736	81
180	739	77
181	742	73
182	745	69
183	747	65
184	750	60
185	753	56
186	755	52
187	758	48
188	761	44
189	764	40
190	766	36
191	768	32
192	772	28
193	774	23
194	777	19
195	780	15
196	782	11
197	785	7
198	788	3
199	791	0
